S 68214c,1 tag = 6664, set = 10, block = 6824268 miss 
L 602e88,4 tag = 6155, set = 20, block = 6303368 hit 
S 642aa8,4 tag = 6410, set = 21, block = 6564488 miss eviction 
L 602e8c,4 tag = 6155, set = 20, block = 6303372 hit 
S 642b28,4 tag = 6410, set = 25, block = 6564616 miss eviction 
L 602e90,4 tag = 6155, set = 20, block = 6303376 hit 
S 642ba8,4 tag = 6410, set = 29, block = 6564744 miss eviction 
L 602e94,4 tag = 6155, set = 20, block = 6303380 hit 
S 642c28,4 tag = 6411, set = 1, block = 6564872 miss eviction 
L 602e98,4 tag = 6155, set = 20, block = 6303384 hit 
S 642ca8,4 tag = 6411, set = 5, block = 6565000 miss eviction 
L 602e9c,4 tag = 6155, set = 20, block = 6303388 hit 
S 642d28,4 tag = 6411, set = 9, block = 6565128 miss eviction 
L 602ea0,4 tag = 6155, set = 21, block = 6303360 miss eviction 
S 642da8,4 tag = 6411, set = 13, block = 6565256 miss eviction 
L 602ea4,4 tag = 6155, set = 21, block = 6303364 hit 
S 642e28,4 tag = 6411, set = 17, block = 6565384 miss eviction 
L 602ea8,4 tag = 6155, set = 21, block = 6303368 hit 
S 642ea8,4 tag = 6411, set = 21, block = 6565512 miss eviction 
L 602eac,4 tag = 6155, set = 21, block = 6303372 miss eviction 
S 642f28,4 tag = 6411, set = 25, block = 6565640 miss eviction 
L 602eb0,4 tag = 6155, set = 21, block = 6303376 hit 
S 642fa8,4 tag = 6411, set = 29, block = 6565768 miss eviction 
L 602eb4,4 tag = 6155, set = 21, block = 6303380 hit 
S 643028,4 tag = 6412, set = 1, block = 6565896 miss eviction 
L 602eb8,4 tag = 6155, set = 21, block = 6303384 hit 
S 6430a8,4 tag = 6412, set = 5, block = 6566024 miss eviction 
L 602ebc,4 tag = 6155, set = 21, block = 6303388 hit 
S 643128,4 tag = 6412, set = 9, block = 6566152 miss eviction 
L 602ec0,4 tag = 6155, set = 22, block = 6303424 miss eviction 
S 6421ac,4 tag = 6408, set = 13, block = 6562188 miss eviction 
L 602ec4,4 tag = 6155, set = 22, block = 6303428 hit 
S 64222c,4 tag = 6408, set = 17, block = 6562316 miss eviction 
L 602ec8,4 tag = 6155, set = 22, block = 6303432 hit 
S 6422ac,4 tag = 6408, set = 21, block = 6562444 miss eviction 
L 602ecc,4 tag = 6155, set = 22, block = 6303436 hit 
S 64232c,4 tag = 6408, set = 25, block = 6562572 miss eviction 
L 602ed0,4 tag = 6155, set = 22, block = 6303440 hit 
S 6423ac,4 tag = 6408, set = 29, block = 6562700 miss eviction 
L 602ed4,4 tag = 6155, set = 22, block = 6303444 hit 
S 64242c,4 tag = 6409, set = 1, block = 6562828 miss eviction 
L 602ed8,4 tag = 6155, set = 22, block = 6303448 hit 
S 6424ac,4 tag = 6409, set = 5, block = 6562956 miss eviction 
L 602edc,4 tag = 6155, set = 22, block = 6303452 hit 
S 64252c,4 tag = 6409, set = 9, block = 6563084 miss eviction 
L 602ee0,4 tag = 6155, set = 23, block = 6303424 miss eviction 
S 6425ac,4 tag = 6409, set = 13, block = 6563212 miss eviction 
L 602ee4,4 tag = 6155, set = 23, block = 6303428 hit 
S 64262c,4 tag = 6409, set = 17, block = 6563340 miss eviction 
L 602ee8,4 tag = 6155, set = 23, block = 6303432 hit 
S 6426ac,4 tag = 6409, set = 21, block = 6563468 miss eviction 
L 602eec,4 tag = 6155, set = 23, block = 6303436 hit 
S 64272c,4 tag = 6409, set = 25, block = 6563596 miss eviction 
L 602ef0,4 tag = 6155, set = 23, block = 6303440 hit 
S 6427ac,4 tag = 6409, set = 29, block = 6563724 miss eviction 
L 602ef4,4 tag = 6155, set = 23, block = 6303444 hit 
S 64282c,4 tag = 6410, set = 1, block = 6563852 miss eviction 
L 602ef8,4 tag = 6155, set = 23, block = 6303448 hit 
S 6428ac,4 tag = 6410, set = 5, block = 6563980 miss eviction 
L 602efc,4 tag = 6155, set = 23, block = 6303452 hit 
S 64292c,4 tag = 6410, set = 9, block = 6564108 miss eviction 
L 602f00,4 tag = 6155, set = 24, block = 6303488 miss eviction 
S 6429ac,4 tag = 6410, set = 13, block = 6564236 miss eviction 
L 602f04,4 tag = 6155, set = 24, block = 6303492 hit 
S 642a2c,4 tag = 6410, set = 17, block = 6564364 miss eviction 
L 602f08,4 tag = 6155, set = 24, block = 6303496 hit 
S 642aac,4 tag = 6410, set = 21, block = 6564492 miss eviction 
L 602f0c,4 tag = 6155, set = 24, block = 6303500 hit 
S 642b2c,4 tag = 6410, set = 25, block = 6564620 miss eviction 
L 602f10,4 tag = 6155, set = 24, block = 6303504 hit 
S 642bac,4 tag = 6410, set = 29, block = 6564748 miss eviction 
L 602f14,4 tag = 6155, set = 24, block = 6303508 hit 
S 642c2c,4 tag = 6411, set = 1, block = 6564876 miss eviction 
L 602f18,4 tag = 6155, set = 24, block = 6303512 hit 
S 642cac,4 tag = 6411, set = 5, block = 6565004 miss eviction 
L 602f1c,4 tag = 6155, set = 24, block = 6303516 hit 
S 642d2c,4 tag = 6411, set = 9, block = 6565132 miss eviction 
L 602f20,4 tag = 6155, set = 25, block = 6303488 miss eviction 
S 642dac,4 tag = 6411, set = 13, block = 6565260 miss eviction 
L 602f24,4 tag = 6155, set = 25, block = 6303492 hit 
S 642e2c,4 tag = 6411, set = 17, block = 6565388 miss eviction 
L 602f28,4 tag = 6155, set = 25, block = 6303496 hit 
S 642eac,4 tag = 6411, set = 21, block = 6565516 miss eviction 
L 602f2c,4 tag = 6155, set = 25, block = 6303500 hit 
S 642f2c,4 tag = 6411, set = 25, block = 6565644 miss eviction 
L 602f30,4 tag = 6155, set = 25, block = 6303504 miss eviction 
S 642fac,4 tag = 6411, set = 29, block = 6565772 miss eviction 
L 602f34,4 tag = 6155, set = 25, block = 6303508 hit 
S 64302c,4 tag = 6412, set = 1, block = 6565900 miss eviction 
L 602f38,4 tag = 6155, set = 25, block = 6303512 hit 
S 6430ac,4 tag = 6412, set = 5, block = 6566028 miss eviction 
L 602f3c,4 tag = 6155, set = 25, block = 6303516 hit 
S 64312c,4 tag = 6412, set = 9, block = 6566156 miss eviction 
L 602f40,4 tag = 6155, set = 26, block = 6303552 miss eviction 
S 6421b0,4 tag = 6408, set = 13, block = 6562192 miss eviction 
L 602f44,4 tag = 6155, set = 26, block = 6303556 hit 
S 642230,4 tag = 6408, set = 17, block = 6562320 miss eviction 
L 602f48,4 tag = 6155, set = 26, block = 6303560 hit 
S 6422b0,4 tag = 6408, set = 21, block = 6562448 miss eviction 
L 602f4c,4 tag = 6155, set = 26, block = 6303564 hit 
S 642330,4 tag = 6408, set = 25, block = 6562576 miss eviction 
L 602f50,4 tag = 6155, set = 26, block = 6303568 hit 
S 6423b0,4 tag = 6408, set = 29, block = 6562704 miss eviction 
L 602f54,4 tag = 6155, set = 26, block = 6303572 hit 
S 642430,4 tag = 6409, set = 1, block = 6562832 miss eviction 
L 602f58,4 tag = 6155, set = 26, block = 6303576 hit 
S 6424b0,4 tag = 6409, set = 5, block = 6562960 miss eviction 
L 602f5c,4 tag = 6155, set = 26, block = 6303580 hit 
S 642530,4 tag = 6409, set = 9, block = 6563088 miss eviction 
L 602f60,4 tag = 6155, set = 27, block = 6303552 miss eviction 
S 6425b0,4 tag = 6409, set = 13, block = 6563216 miss eviction 
L 602f64,4 tag = 6155, set = 27, block = 6303556 hit 
S 642630,4 tag = 6409, set = 17, block = 6563344 miss eviction 
L 602f68,4 tag = 6155, set = 27, block = 6303560 hit 
S 6426b0,4 tag = 6409, set = 21, block = 6563472 miss eviction 
L 602f6c,4 tag = 6155, set = 27, block = 6303564 hit 
S 642730,4 tag = 6409, set = 25, block = 6563600 miss eviction 
L 602f70,4 tag = 6155, set = 27, block = 6303568 hit 
S 6427b0,4 tag = 6409, set = 29, block = 6563728 miss eviction 
L 602f74,4 tag = 6155, set = 27, block = 6303572 hit 
S 642830,4 tag = 6410, set = 1, block = 6563856 miss eviction 
L 602f78,4 tag = 6155, set = 27, block = 6303576 hit 
S 6428b0,4 tag = 6410, set = 5, block = 6563984 miss eviction 
L 602f7c,4 tag = 6155, set = 27, block = 6303580 hit 
S 642930,4 tag = 6410, set = 9, block = 6564112 miss eviction 
L 602f80,4 tag = 6155, set = 28, block = 6303616 miss eviction 
S 6429b0,4 tag = 6410, set = 13, block = 6564240 miss eviction 
L 602f84,4 tag = 6155, set = 28, block = 6303620 hit 
S 642a30,4 tag = 6410, set = 17, block = 6564368 miss eviction 
L 602f88,4 tag = 6155, set = 28, block = 6303624 hit 
S 642ab0,4 tag = 6410, set = 21, block = 6564496 miss eviction 
L 602f8c,4 tag = 6155, set = 28, block = 6303628 hit 
S 642b30,4 tag = 6410, set = 25, block = 6564624 miss eviction 
L 602f90,4 tag = 6155, set = 28, block = 6303632 hit 
S 642bb0,4 tag = 6410, set = 29, block = 6564752 miss eviction 
L 602f94,4 tag = 6155, set = 28, block = 6303636 hit 
S 642c30,4 tag = 6411, set = 1, block = 6564880 miss eviction 
L 602f98,4 tag = 6155, set = 28, block = 6303640 hit 
S 642cb0,4 tag = 6411, set = 5, block = 6565008 miss eviction 
L 602f9c,4 tag = 6155, set = 28, block = 6303644 hit 
S 642d30,4 tag = 6411, set = 9, block = 6565136 miss eviction 
L 602fa0,4 tag = 6155, set = 29, block = 6303616 miss eviction 
S 642db0,4 tag = 6411, set = 13, block = 6565264 miss eviction 
L 602fa4,4 tag = 6155, set = 29, block = 6303620 hit 
S 642e30,4 tag = 6411, set = 17, block = 6565392 miss eviction 
L 602fa8,4 tag = 6155, set = 29, block = 6303624 hit 
S 642eb0,4 tag = 6411, set = 21, block = 6565520 miss eviction 
L 602fac,4 tag = 6155, set = 29, block = 6303628 hit 
S 642f30,4 tag = 6411, set = 25, block = 6565648 miss eviction 
L 602fb0,4 tag = 6155, set = 29, block = 6303632 hit 
S 642fb0,4 tag = 6411, set = 29, block = 6565776 miss eviction 
L 602fb4,4 tag = 6155, set = 29, block = 6303636 miss eviction 
S 643030,4 tag = 6412, set = 1, block = 6565904 miss eviction 
L 602fb8,4 tag = 6155, set = 29, block = 6303640 hit 
S 6430b0,4 tag = 6412, set = 5, block = 6566032 miss eviction 
L 602fbc,4 tag = 6155, set = 29, block = 6303644 hit 
S 643130,4 tag = 6412, set = 9, block = 6566160 miss eviction 
L 602fc0,4 tag = 6155, set = 30, block = 6303680 miss eviction 
S 6421b4,4 tag = 6408, set = 13, block = 6562196 miss eviction 
L 602fc4,4 tag = 6155, set = 30, block = 6303684 hit 
S 642234,4 tag = 6408, set = 17, block = 6562324 miss eviction 
L 602fc8,4 tag = 6155, set = 30, block = 6303688 hit 
S 6422b4,4 tag = 6408, set = 21, block = 6562452 miss eviction 
L 602fcc,4 tag = 6155, set = 30, block = 6303692 hit 
S 642334,4 tag = 6408, set = 25, block = 6562580 miss eviction 
L 602fd0,4 tag = 6155, set = 30, block = 6303696 hit 
S 6423b4,4 tag = 6408, set = 29, block = 6562708 miss eviction 
L 602fd4,4 tag = 6155, set = 30, block = 6303700 hit 
S 642434,4 tag = 6409, set = 1, block = 6562836 miss eviction 
L 602fd8,4 tag = 6155, set = 30, block = 6303704 hit 
S 6424b4,4 tag = 6409, set = 5, block = 6562964 miss eviction 
L 602fdc,4 tag = 6155, set = 30, block = 6303708 hit 
S 642534,4 tag = 6409, set = 9, block = 6563092 miss eviction 
L 602fe0,4 tag = 6155, set = 31, block = 6303680 miss eviction 
S 6425b4,4 tag = 6409, set = 13, block = 6563220 miss eviction 
L 602fe4,4 tag = 6155, set = 31, block = 6303684 hit 
S 642634,4 tag = 6409, set = 17, block = 6563348 miss eviction 
L 602fe8,4 tag = 6155, set = 31, block = 6303688 hit 
S 6426b4,4 tag = 6409, set = 21, block = 6563476 miss eviction 
L 602fec,4 tag = 6155, set = 31, block = 6303692 hit 
S 642734,4 tag = 6409, set = 25, block = 6563604 miss eviction 
L 602ff0,4 tag = 6155, set = 31, block = 6303696 hit 
S 6427b4,4 tag = 6409, set = 29, block = 6563732 miss eviction 
L 602ff4,4 tag = 6155, set = 31, block = 6303700 hit 
S 642834,4 tag = 6410, set = 1, block = 6563860 miss eviction 
L 602ff8,4 tag = 6155, set = 31, block = 6303704 hit 
S 6428b4,4 tag = 6410, set = 5, block = 6563988 miss eviction 
L 602ffc,4 tag = 6155, set = 31, block = 6303708 hit 
S 642934,4 tag = 6410, set = 9, block = 6564116 miss eviction 
L 603000,4 tag = 6156, set = 0, block = 6303744 miss eviction 
S 6429b4,4 tag = 6410, set = 13, block = 6564244 miss eviction 
L 603004,4 tag = 6156, set = 0, block = 6303748 hit 
S 642a34,4 tag = 6410, set = 17, block = 6564372 miss eviction 
L 603008,4 tag = 6156, set = 0, block = 6303752 hit 
S 642ab4,4 tag = 6410, set = 21, block = 6564500 miss eviction 
L 60300c,4 tag = 6156, set = 0, block = 6303756 hit 
S 642b34,4 tag = 6410, set = 25, block = 6564628 miss eviction 
L 603010,4 tag = 6156, set = 0, block = 6303760 hit 
S 642bb4,4 tag = 6410, set = 29, block = 6564756 miss eviction 
L 603014,4 tag = 6156, set = 0, block = 6303764 hit 
S 642c34,4 tag = 6411, set = 1, block = 6564884 miss eviction 
L 603018,4 tag = 6156, set = 0, block = 6303768 hit 
S 642cb4,4 tag = 6411, set = 5, block = 6565012 miss eviction 
L 60301c,4 tag = 6156, set = 0, block = 6303772 hit 
S 642d34,4 tag = 6411, set = 9, block = 6565140 miss eviction 
L 603020,4 tag = 6156, set = 1, block = 6303744 miss eviction 
S 642db4,4 tag = 6411, set = 13, block = 6565268 miss eviction 
L 603024,4 tag = 6156, set = 1, block = 6303748 hit 
S 642e34,4 tag = 6411, set = 17, block = 6565396 miss eviction 
L 603028,4 tag = 6156, set = 1, block = 6303752 hit 
S 642eb4,4 tag = 6411, set = 21, block = 6565524 miss eviction 
L 60302c,4 tag = 6156, set = 1, block = 6303756 hit 
S 642f34,4 tag = 6411, set = 25, block = 6565652 miss eviction 
L 603030,4 tag = 6156, set = 1, block = 6303760 hit 
S 642fb4,4 tag = 6411, set = 29, block = 6565780 miss eviction 
L 603034,4 tag = 6156, set = 1, block = 6303764 hit 
S 643034,4 tag = 6412, set = 1, block = 6565908 miss eviction 
L 603038,4 tag = 6156, set = 1, block = 6303768 miss eviction 
S 6430b4,4 tag = 6412, set = 5, block = 6566036 miss eviction 
L 60303c,4 tag = 6156, set = 1, block = 6303772 hit 
S 643134,4 tag = 6412, set = 9, block = 6566164 miss eviction 
L 603040,4 tag = 6156, set = 2, block = 6303808 miss eviction 
S 6421b8,4 tag = 6408, set = 13, block = 6562200 miss eviction 
L 603044,4 tag = 6156, set = 2, block = 6303812 hit 
S 642238,4 tag = 6408, set = 17, block = 6562328 miss eviction 
L 603048,4 tag = 6156, set = 2, block = 6303816 hit 
S 6422b8,4 tag = 6408, set = 21, block = 6562456 miss eviction 
L 60304c,4 tag = 6156, set = 2, block = 6303820 hit 
S 642338,4 tag = 6408, set = 25, block = 6562584 miss eviction 
L 603050,4 tag = 6156, set = 2, block = 6303824 hit 
S 6423b8,4 tag = 6408, set = 29, block = 6562712 miss eviction 
L 603054,4 tag = 6156, set = 2, block = 6303828 hit 
S 642438,4 tag = 6409, set = 1, block = 6562840 miss eviction 
L 603058,4 tag = 6156, set = 2, block = 6303832 hit 
S 6424b8,4 tag = 6409, set = 5, block = 6562968 miss eviction 
L 60305c,4 tag = 6156, set = 2, block = 6303836 hit 
S 642538,4 tag = 6409, set = 9, block = 6563096 miss eviction 
L 603060,4 tag = 6156, set = 3, block = 6303808 miss eviction 
S 6425b8,4 tag = 6409, set = 13, block = 6563224 miss eviction 
L 603064,4 tag = 6156, set = 3, block = 6303812 hit 
S 642638,4 tag = 6409, set = 17, block = 6563352 miss eviction 
L 603068,4 tag = 6156, set = 3, block = 6303816 hit 
S 6426b8,4 tag = 6409, set = 21, block = 6563480 miss eviction 
L 60306c,4 tag = 6156, set = 3, block = 6303820 hit 
S 642738,4 tag = 6409, set = 25, block = 6563608 miss eviction 
L 603070,4 tag = 6156, set = 3, block = 6303824 hit 
S 6427b8,4 tag = 6409, set = 29, block = 6563736 miss eviction 
L 603074,4 tag = 6156, set = 3, block = 6303828 hit 
S 642838,4 tag = 6410, set = 1, block = 6563864 miss eviction 
L 603078,4 tag = 6156, set = 3, block = 6303832 hit 
S 6428b8,4 tag = 6410, set = 5, block = 6563992 miss eviction 
L 60307c,4 tag = 6156, set = 3, block = 6303836 hit 
S 642938,4 tag = 6410, set = 9, block = 6564120 miss eviction 
L 603080,4 tag = 6156, set = 4, block = 6303872 miss eviction 
S 6429b8,4 tag = 6410, set = 13, block = 6564248 miss eviction 
L 603084,4 tag = 6156, set = 4, block = 6303876 hit 
S 642a38,4 tag = 6410, set = 17, block = 6564376 miss eviction 
L 603088,4 tag = 6156, set = 4, block = 6303880 hit 
S 642ab8,4 tag = 6410, set = 21, block = 6564504 miss eviction 
L 60308c,4 tag = 6156, set = 4, block = 6303884 hit 
S 642b38,4 tag = 6410, set = 25, block = 6564632 miss eviction 
L 603090,4 tag = 6156, set = 4, block = 6303888 hit 
S 642bb8,4 tag = 6410, set = 29, block = 6564760 miss eviction 
L 603094,4 tag = 6156, set = 4, block = 6303892 hit 
S 642c38,4 tag = 6411, set = 1, block = 6564888 miss eviction 
L 603098,4 tag = 6156, set = 4, block = 6303896 hit 
S 642cb8,4 tag = 6411, set = 5, block = 6565016 miss eviction 
L 60309c,4 tag = 6156, set = 4, block = 6303900 hit 
S 642d38,4 tag = 6411, set = 9, block = 6565144 miss eviction 
L 6030a0,4 tag = 6156, set = 5, block = 6303872 miss eviction 
S 642db8,4 tag = 6411, set = 13, block = 6565272 miss eviction 
L 6030a4,4 tag = 6156, set = 5, block = 6303876 hit 
S 642e38,4 tag = 6411, set = 17, block = 6565400 miss eviction 
L 6030a8,4 tag = 6156, set = 5, block = 6303880 hit 
S 642eb8,4 tag = 6411, set = 21, block = 6565528 miss eviction 
L 6030ac,4 tag = 6156, set = 5, block = 6303884 hit 
S 642f38,4 tag = 6411, set = 25, block = 6565656 miss eviction 
L 6030b0,4 tag = 6156, set = 5, block = 6303888 hit 
S 642fb8,4 tag = 6411, set = 29, block = 6565784 miss eviction 
L 6030b4,4 tag = 6156, set = 5, block = 6303892 hit 
S 643038,4 tag = 6412, set = 1, block = 6565912 miss eviction 
L 6030b8,4 tag = 6156, set = 5, block = 6303896 hit 
S 6430b8,4 tag = 6412, set = 5, block = 6566040 miss eviction 
L 6030bc,4 tag = 6156, set = 5, block = 6303900 miss eviction 
S 643138,4 tag = 6412, set = 9, block = 6566168 miss eviction 
L 6030c0,4 tag = 6156, set = 6, block = 6303936 miss eviction 
S 6421bc,4 tag = 6408, set = 13, block = 6562204 miss eviction 
L 6030c4,4 tag = 6156, set = 6, block = 6303940 hit 
S 64223c,4 tag = 6408, set = 17, block = 6562332 miss eviction 
L 6030c8,4 tag = 6156, set = 6, block = 6303944 hit 
S 6422bc,4 tag = 6408, set = 21, block = 6562460 miss eviction 
L 6030cc,4 tag = 6156, set = 6, block = 6303948 hit 
S 64233c,4 tag = 6408, set = 25, block = 6562588 miss eviction 
L 6030d0,4 tag = 6156, set = 6, block = 6303952 hit 
S 6423bc,4 tag = 6408, set = 29, block = 6562716 miss eviction 
L 6030d4,4 tag = 6156, set = 6, block = 6303956 hit 
S 64243c,4 tag = 6409, set = 1, block = 6562844 miss eviction 
L 6030d8,4 tag = 6156, set = 6, block = 6303960 hit 
S 6424bc,4 tag = 6409, set = 5, block = 6562972 miss eviction 
L 6030dc,4 tag = 6156, set = 6, block = 6303964 hit 
S 64253c,4 tag = 6409, set = 9, block = 6563100 miss eviction 
L 6030e0,4 tag = 6156, set = 7, block = 6303936 miss eviction 
S 6425bc,4 tag = 6409, set = 13, block = 6563228 miss eviction 
L 6030e4,4 tag = 6156, set = 7, block = 6303940 hit 
S 64263c,4 tag = 6409, set = 17, block = 6563356 miss eviction 
L 6030e8,4 tag = 6156, set = 7, block = 6303944 hit 
S 6426bc,4 tag = 6409, set = 21, block = 6563484 miss eviction 
L 6030ec,4 tag = 6156, set = 7, block = 6303948 hit 
S 64273c,4 tag = 6409, set = 25, block = 6563612 miss eviction 
L 6030f0,4 tag = 6156, set = 7, block = 6303952 hit 
S 6427bc,4 tag = 6409, set = 29, block = 6563740 miss eviction 
L 6030f4,4 tag = 6156, set = 7, block = 6303956 hit 
S 64283c,4 tag = 6410, set = 1, block = 6563868 miss eviction 
L 6030f8,4 tag = 6156, set = 7, block = 6303960 hit 
S 6428bc,4 tag = 6410, set = 5, block = 6563996 miss eviction 
L 6030fc,4 tag = 6156, set = 7, block = 6303964 hit 
S 64293c,4 tag = 6410, set = 9, block = 6564124 miss eviction 
L 603100,4 tag = 6156, set = 8, block = 6304000 miss eviction 
S 6429bc,4 tag = 6410, set = 13, block = 6564252 miss eviction 
L 603104,4 tag = 6156, set = 8, block = 6304004 hit 
S 642a3c,4 tag = 6410, set = 17, block = 6564380 miss eviction 
L 603108,4 tag = 6156, set = 8, block = 6304008 hit 
S 642abc,4 tag = 6410, set = 21, block = 6564508 miss eviction 
L 60310c,4 tag = 6156, set = 8, block = 6304012 hit 
S 642b3c,4 tag = 6410, set = 25, block = 6564636 miss eviction 
L 603110,4 tag = 6156, set = 8, block = 6304016 hit 
S 642bbc,4 tag = 6410, set = 29, block = 6564764 miss eviction 
L 603114,4 tag = 6156, set = 8, block = 6304020 hit 
S 642c3c,4 tag = 6411, set = 1, block = 6564892 miss eviction 
L 603118,4 tag = 6156, set = 8, block = 6304024 hit 
S 642cbc,4 tag = 6411, set = 5, block = 6565020 miss eviction 
L 60311c,4 tag = 6156, set = 8, block = 6304028 hit 
S 642d3c,4 tag = 6411, set = 9, block = 6565148 miss eviction 
L 603120,4 tag = 6156, set = 9, block = 6304000 miss eviction 
S 642dbc,4 tag = 6411, set = 13, block = 6565276 miss eviction 
L 603124,4 tag = 6156, set = 9, block = 6304004 hit 
S 642e3c,4 tag = 6411, set = 17, block = 6565404 miss eviction 
L 603128,4 tag = 6156, set = 9, block = 6304008 hit 
S 642ebc,4 tag = 6411, set = 21, block = 6565532 miss eviction 
L 60312c,4 tag = 6156, set = 9, block = 6304012 hit 
S 642f3c,4 tag = 6411, set = 25, block = 6565660 miss eviction 
L 603130,4 tag = 6156, set = 9, block = 6304016 hit 
S 642fbc,4 tag = 6411, set = 29, block = 6565788 miss eviction 
L 603134,4 tag = 6156, set = 9, block = 6304020 hit 
S 64303c,4 tag = 6412, set = 1, block = 6565916 miss eviction 
L 603138,4 tag = 6156, set = 9, block = 6304024 hit 
S 6430bc,4 tag = 6412, set = 5, block = 6566044 miss eviction 
L 60313c,4 tag = 6156, set = 9, block = 6304028 hit 
S 64313c,4 tag = 6412, set = 9, block = 6566172 miss eviction 
S 68214d,1 tag = 6664, set = 10, block = 6824269 miss eviction 
hits:870 misses:1183 evictions:1151
